id,name,region,type,status,google_name,google_place_id,confidence
"428","Monkey Town Eindhoven","Eindhoven","play","fixed","Monkey Town Eindhoven | Indoor Speeltuin","ChIJ0-2iSFnfxkcRgQs1R3HAncU","contains"
"442","Next Nature Museum","Eindhoven","museum","fixed","Next Nature Museum","ChIJu78mHmXZxkcR8FsTj5rhWyo","exact"
"448","Pannenkoekenhuis De Proeftuin","Eindhoven","pancake","fixed","Pannenkoekenhuis De Proeftuin","ChIJ817KluPbxkcRnZO6UYWJrKw","exact"
"443","Paviljoen Genneper Parken","Eindhoven","horeca","fixed","Paviljoen Genneper Parken","ChIJU77hjLHZxkcRKs3t_aR1tEg","exact"
"440","Philips Museum","Eindhoven","museum","fixed","Philips Museum","ChIJZwwYzATZxkcRXgnHkrU5FNk","exact"
"439","preHistorisch Dorp","Eindhoven","museum","fixed","preHistorisch Dorp","ChIJbV51GazZxkcRQ_RuyYvdrnA","exact"
"445","Restaurant Thym by Parkzicht","Eindhoven","horeca","fixed","Thym by Parkzicht","ChIJ1fMLek3ZxkcRWYEOhhlxPvI","contains"
"430","Speelpark De Splinter","Eindhoven","play","fixed","Speelpark de Splinter","ChIJi4zv_cvexkcRT2VSvfrNVwg","exact"
"432","Speeltuin Wasvenboerderij","Eindhoven","play","name_mismatch","Wasven Gasterij","ChIJu4vXyb_YxkcRBa9_GYw0GPs","none"
"437","Stadswandelpark","Eindhoven","nature","fixed","Stadswandelpark","ChIJy1D-KFXYxkcRMvZtPPRwNY8","exact"
"444","The Happiness Café","Eindhoven","horeca","fixed","The Happiness Café Eindhoven","ChIJpxEiRhvZxkcRWF3NoHgDwLI","contains"
"449","The Pnck Company","Eindhoven","pancake","name_mismatch","Primark","ChIJ545poxzZxkcRyXYnd7loEOY","none"
"471","'t Pannekoekschip","Groningen","pancake","fixed","'t Pannekoekschip","ChIJyROOUlbNyUcRk17HO_bdCXE","exact"
"451","Ballorig Groningen","Groningen","play","fixed","Ballorig Groningen | Indoor speeltuin","ChIJQyldHo7SyUcRsV2r4M47o80","contains"
"470","De Huiskamer","Groningen","horeca","fixed","De huiskamer","ChIJB-tlPiUzyEcRqKGVrsgKrTY","exact"
"466","Forum Groningen","Groningen","museum","fixed","Forum Groningen","ChIJ3RqKRFDNyUcREKqf_-WbEzs","exact"
"463","Groninger Museum","Groningen","museum","fixed","Groninger Museum","ChIJpwjudFPNyUcR1mEqE_1ZjnU","exact"
"462","Hortus Botanicus Haren","Groningen","nature","fixed","Hortus Botanicus Haren","ChIJAToojBMtyEcRzr14t98Sb1k","exact"
"458","Kinderboerderij De Beestenborg","Groningen","nature","fixed","De Beestenborg","ChIJraPhN5bSyUcRVdnjhfQwsGY","contains"
"457","Kinderboerderij Stadspark","Groningen","nature","fixed","Kinderboerderij Stadspark","ChIJYWSt3bUyyEcRVvqoJaH7uCw","exact"
"452","Monkey Town Groningen","Groningen","play","fixed","Monkey Town Groningen | Indoor Speeltuin","ChIJDX4Ab7UyyEcRae7dNyoU9Xg","contains"
"460","Noorderplantsoen","Groningen","nature","fixed","Noorderplantsoen","ChIJfeiYl0bNyUcRwoKknZMpCPE","exact"
"473","Paviljoen Appelbergen","Groningen","pancake","fixed","Paviljoen Appelbergen","ChIJJTY2ET4syEcRYfJ9JRmQo28","exact"
"461","Prinsentuin","Groningen","nature","fixed","Prinsentuin","ChIJLTTPGlrNyUcRj8ioHLxOKOU","exact"
"455","Speeltuin De Helpen","Groningen","play","fixed","De Helpen","ChIJp3Q201EtyEcRn6Bsm4BdvOA","contains"
"454","Speeltuin Noorderplantsoen","Groningen","play","fixed","Speeltuin Noorderplantsoen","ChIJUworIkbNyUcRtXqx8QNiZ-E","exact"
"456","Speeltuin Oosterpark","Groningen","play","name_mismatch","Buurt- en Speeltuinvereniging Ons Belang","ChIJO72H3qbSyUcRVzdfYYmcwCA","none"
"453","Speeltuin Stadspark","Groningen","play","fixed","Speeltuin Stadspark","ChIJrTom4LUyyEcRKSNR4oA8g40","exact"
"459","Stadsboerderij Het Boegbeeld","Groningen","nature","fixed","Stadsboerderij Het Boegbeeld","ChIJX5tj1ezSyUcRBtxHXTENkaA","exact"
"464","StoryWorld (Forum Groningen)","Groningen","museum","fixed","Storyworld","ChIJhTdqbobNyUcRgYwkE3DH9t0","contains"
"472","Toet Pannenkoek","Groningen","pancake","fixed","Toet","ChIJZzPCz1PNyUcRnBwEZ5wHClE","contains"
"465","Universiteitsmuseum Groningen","Groningen","museum","fixed","Universiteitsmuseum Groningen","ChIJO5Z_MlDNyUcRJF5hXJgMj8o","exact"
"467","Wadapartja Westerhaven","Groningen","horeca","fixed","Wadapartja Westerhaven","ChIJ9dksP7bNyUcRniKs0lWhnao","exact"
"469","Zondag Noorderplantsoen","Groningen","horeca","fixed","Zondag","ChIJ9X97j0bNyUcRi_QRH2_YefI","contains"
"344","Boerderij Zorgvrij Spaarnwoude","Haarlem","nature","fixed","Boerderij Zorgvrij","ChIJJ0CMR0_lxUcRnJuLSly3Qog","contains"
"343","Kraantje Lek","Haarlem","pancake","fixed","Kraantje Lek","ChIJF0H-mOvuxUcRTuC776fQcYA","exact"
"349","Restaurant De Vogelensangh","Haarlem","pancake","fixed","Restaurant de Vogelensangh","ChIJ4zh0NBHpxUcRNS_2AeIB5f8","exact"
"348","Speelbos Haarlemmermeerse Bos","Haarlem","nature","fixed","Speelbos Meermond.","ChIJqwGG1rroxUcRMfyh25JKRTY","first-word"
"346","Speeltuin Brouwersplein","Haarlem","play","name_mismatch","Speeltuinvereniging Brouwersplein","ChIJ5XpbLRfvxUcRdojTiGSxxJM","none"
"347","Speeltuin DVS","Haarlem","play","fixed","Speeltuin D.V.S.","ChIJc05_dgDvxUcRe7PMtJyfbp0","exact"
"345","Speeltuin Jeugdland","Haarlem","play","fixed","Speeltuin Jeugdland","ChIJtSKjAQDpxUcRyebzyRCZ00c","exact"
"350","Speeltuin Ramplaankwartier","Haarlem","play","fixed","Speeltuin Ramplaankwartier","ChIJa9-I1yXvxUcR30auqyK6dS8","exact"
"342","Theehuis De Haarlemmerhout","Haarlem","horeca","fixed","Theehuis de Haarlemmerhout","ChIJm0VxZYDvxUcRq8w2ZPooxZg","exact"
"337","BubbelJungle Binnenspeeltuin","Leiden","play","name_mismatch","De BUB","ChIJF68sTCfExUcRsvQUvnW_bmk","none"
"341","De Tapuit Waterspeeltuin Meijendel","Leiden","nature","name_mismatch","Bezoekerscentrum Dunea, De Tapuit","ChIJuaZwacG5xUcRnNZ3SNiBv2Y","none"
